title,url
Berlin Secession,/en/artists-by-painting-school/berlin-secession
Les XX,/en/artists-by-painting-school/les-xx
Hague School,/en/artists-by-painting-school/hague-school
Kyiv Drawing School of Murashko,/en/artists-by-painting-school/kyiv-drawing-school-of-murashko
English school,/en/artists-by-painting-school/english-school
Pont-Aven School,/en/artists-by-painting-school/pont-aven-school
Kitagawa school,/en/artists-by-painting-school/kitagawa-school
Society of American Artists,/en/artists-by-painting-school/society-of-american-artists
Haarlem School,/en/artists-by-painting-school/haarlem-school
Rinzai school,/en/artists-by-painting-school/rinzai-school
École de Paris,/en/artists-by-painting-school/cole-de-paris
Katsukawa school,/en/artists-by-painting-school/katsukawa-school
Hoosier Group,/en/artists-by-painting-school/hoosier-group
Cranbrook Colony,/en/artists-by-painting-school/cranbrook-colony
Skagen Painters,/en/artists-by-painting-school/skagen-painters
Mir Iskusstva (World of Art),/en/artists-by-painting-school/mir-iskusstva-world-of-art
École de Nancy,/en/artists-by-painting-school/cole-de-nancy
Scottish School,/en/artists-by-painting-school/scottish-school
Heidelberg School,/en/artists-by-painting-school/heidelberg-school
Barbizon school,/en/artists-by-painting-school/barbizon-school
Society of Polish Artists 'Sztuka',/en/artists-by-painting-school/society-of-polish-artists-sztuka
Newlyn School,/en/artists-by-painting-school/newlyn-school
Glasgow School,/en/artists-by-painting-school/glasgow-school
Ten (Ten American Painters),/en/artists-by-painting-school/ten-ten-american-painters
Les Nabis,/en/artists-by-painting-school/les-nabis
Nagybánya Artists Colony (Baia Mare School),/en/artists-by-painting-school/nagyb-nya-artists-colony-baia-mare-school
American Barbizon school,/en/artists-by-painting-school/american-barbizon-school
Gödöllő Art Colony,/en/artists-by-painting-school/g-d-ll-art-colony
Bande Noir (Les Nubians),/en/artists-by-painting-school/bande-noir-les-nubians
St Ives School,/en/artists-by-painting-school/st-ives-school
California Plein-Air School (California Impressionism),/en/artists-by-painting-school/california-plein-air-school-california-impressionism
Bloomsbury Group,/en/artists-by-painting-school/bloomsbury-group
Seven and Five Society,/en/artists-by-painting-school/seven-and-five-society
Eight,/en/artists-by-painting-school/eight
Les Fauves,/en/artists-by-painting-school/les-fauves
"Degenerate art (exhibition, held by the Nazis in Munich in 1937,  named to inflame public opinion against modernism)",/en/artists-by-painting-school/degenerate-art
Bengal School,/en/artists-by-painting-school/bengal-school
Stieglitz group,/en/artists-by-painting-school/stieglitz-group
Art (Τέχνη),/en/artists-by-painting-school/art
Bornholm school,/en/artists-by-painting-school/bornholm-school
London Group,/en/artists-by-painting-school/london-group
Norwich School,/en/artists-by-painting-school/norwich-school
Larense School,/en/artists-by-painting-school/larense-school
Cos Cob Art Colony,/en/artists-by-painting-school/cos-cob-art-colony
Transcendental Painting Group,/en/artists-by-painting-school/transcendental-painting-group
November Group (Marraskuun ryhmä),/en/artists-by-painting-school/november-group-marraskuun-ryhma
Section d'Or (Puteaux Group),/en/artists-by-painting-school/section-d-or-puteaux-group
AKhKU (Association of Artists of Red Ukraine),/en/artists-by-painting-school/ahku-association-of-artists-of-red-ukraine
Jack of Diamonds,/en/artists-by-painting-school/jack-of-diamonds
New York School,/en/artists-by-painting-school/new-york-school
Der Blaue Reiter (The Blue Rider),/en/artists-by-painting-school/der-blaue-reiter-the-blue-rider
Scottish Colourists,/en/artists-by-painting-school/scottish-colourists
Mexican Mural Renaissance,/en/artists-by-painting-school/mexican-mural-renaissance
The Generation of the Thirties,/en/artists-by-painting-school/the-generation-of-the-thirties
Camden Town Group,/en/artists-by-painting-school/camden-town-group
Brandywine School,/en/artists-by-painting-school/brandywine-school
Pennsylvania Impressionism,/en/artists-by-painting-school/pennsylvania-impressionism
Soyuz Molodyozhi (Union of the Youth),/en/artists-by-painting-school/soyuz-molodyozhi-union-of-the-youth
Balchik School,/en/artists-by-painting-school/balchik-school
Novecento Italiano,/en/artists-by-painting-school/novecento-italiano
Grupo dos Cinco,/en/artists-by-painting-school/grupo-dos-cinco
New Group,/en/artists-by-painting-school/new-group-south-africa
Abstraction-Création,/en/artists-by-painting-school/abstraction-cr-ation
Supremus,/en/artists-by-painting-school/supremus
Bauhaus,/en/artists-by-painting-school/bauhaus
Ancients,/en/artists-by-painting-school/ancients
Transcarpathian School of Painting,/en/artists-by-painting-school/transcarpathian-school-of-painting
Northwest School,/en/artists-by-painting-school/northwest-school
Shijō school,/en/artists-by-painting-school/shij-school
Madrid School,/en/artists-by-painting-school/madrid-school
Four Abstract Classicists,/en/artists-by-painting-school/four-abstract-classicists
Kiowa Six,/en/artists-by-painting-school/kiowa-six
Zero,/en/artists-by-painting-school/zero
Artes,/en/artists-by-painting-school/artes
Cercle et Carré,/en/artists-by-painting-school/cercle-et-carr
Zen 49,/en/artists-by-painting-school/zen-49
Utagawa school,/en/artists-by-painting-school/utagawa-school
Devětsil,/en/artists-by-painting-school/dev-tsil
American Abstract Artists,/en/artists-by-painting-school/american-abstract-artists
Irascibles,/en/artists-by-painting-school/irascibles
Gutai group,/en/artists-by-painting-school/gutai-group
Armos,/en/artists-by-painting-school/armos
Gruppo degli Otto,/en/artists-by-painting-school/gruppo-degli-otto
Washington Color School,/en/artists-by-painting-school/washington-color-school
School of London,/en/artists-by-painting-school/school-of-london
Euston Road School,/en/artists-by-painting-school/euston-road-school
Birmingham Surrealists,/en/artists-by-painting-school/birmingham-surrealists
Gruppo Origine,/en/artists-by-painting-school/gruppo-origine
Jeune Peinture Belge,/en/artists-by-painting-school/jeune-peinture-belge
Fronte Nuovo delle Arti,/en/artists-by-painting-school/fronte-nuovo-delle-arti
Phases,/en/artists-by-painting-school/phases
Los Hartos (The Fed-Ups),/en/artists-by-painting-school/los-hartos-the-fed-ups
Bay Area Figurative School,/en/artists-by-painting-school/bay-area-figurative-school
San Francisco School,/en/artists-by-painting-school/san-francisco-school
S,/en/artists-by-painting-school/s
Bombay Progressive Artists' Group,/en/artists-by-painting-school/bombay-progressive-artists-group
Linien,/en/artists-by-painting-school/linien
Heide Circle,/en/artists-by-painting-school/heide-circle
La Ruptura (Breakaway movement),/en/artists-by-painting-school/la-ruptura-breakaway-movement
Hlebine School,/en/artists-by-painting-school/hlebine-school
Calcutta Group,/en/artists-by-painting-school/calcutta-group
Giverny art colony,/en/artists-by-painting-school/giverny-art-colony
COBRA,/en/artists-by-painting-school/cobra
Szentendre school,/en/artists-by-painting-school/szentendre-school
Les Automatistes,/en/artists-by-painting-school/les-automatistes
La Ruche,/en/artists-by-painting-school/la-ruche
Forma 1,/en/artists-by-painting-school/forma-1
Unit One,/en/artists-by-painting-school/unit-one
Frente,/en/artists-by-painting-school/frente
Lacerba,/en/artists-by-painting-school/lacerba
Jung Jidysz,/en/artists-by-painting-school/jung-jidysz
Quadriga Group,/en/artists-by-painting-school/quadriga-group
Fluxus,/en/artists-by-painting-school/fluxus
Scuola Romana,/en/artists-by-painting-school/scuola-romana
L'homme Témoin,/en/artists-by-painting-school/l-homme-t-moin
The Factory,/en/artists-by-painting-school/the-factory
Gruppo di Portonaccio,/en/artists-by-painting-school/gruppo-del-portonaccio-roma
Park Place,/en/artists-by-painting-school/park-place
ARMU (Association of Revolutionary Masters of Ukraine),/en/artists-by-painting-school/armu-association-of-revolutionary-masters-of-ukraine
Antipodeans,/en/artists-by-painting-school/antipodeans
Les Plasticiens,/en/artists-by-painting-school/les-plasticiens
Papunya Tula,/en/artists-by-painting-school/papunya-tula
Radical Painting Group,/en/artists-by-painting-school/radical-painting-group
Painters Eleven (P11),/en/artists-by-painting-school/painters-eleven-p11
Capitalist realism,/en/artists-by-painting-school/capitalist-realism
Dau al Set,/en/artists-by-painting-school/dau-al-set
Prolog Group,/en/artists-by-painting-school/prolog-group
Brotherhood of Ruralists,/en/artists-by-painting-school/brotherhood-of-ruralists
Vienna School of Fantastic Realism,/en/artists-by-painting-school/vienna-school-of-fantastic-realism
Gruppe SPUR,/en/artists-by-painting-school/gruppe-spur
Supports/Surfaces,/en/artists-by-painting-school/supports-surfaces
Mono-ha,/en/artists-by-painting-school/mono-ha
Mediala,/en/artists-by-painting-school/mediala
Gruppo N,/en/artists-by-painting-school/gruppo-n
9+1,/en/artists-by-painting-school/9-1
111,/en/artists-by-painting-school/111
BMPT,/en/artists-by-painting-school/bmpt
Chicago Imagists,/en/artists-by-painting-school/chicago-imagists
Zebra group,/en/artists-by-painting-school/zebra-group
El Paso,/en/artists-by-painting-school/el-paso
Moscow Conceptualists,/en/artists-by-painting-school/moscow-conceptualists
Political Pop,/en/artists-by-painting-school/political-pop
Osogbo School,/en/artists-by-painting-school/osogbo-school
Gruppo T,/en/artists-by-painting-school/gruppo-t
Eight Eccentrics of Yangzhou,/en/artists-by-painting-school/eight-eccentrics-of-yangzhou
Cuzco School,/en/artists-by-painting-school/cuzco-school
Latem School,/en/artists-by-painting-school/latem-school
Puzzle Group,/en/artists-by-painting-school/puzzle-group
New Leipzig School,/en/artists-by-painting-school/new-leipzig-school
Zig-Zag,/en/artists-by-painting-school/zig-zag
Los Four,/en/artists-by-painting-school/los-four
Young British Artists,/en/artists-by-painting-school/young-british-artists
Parcommune,/en/artists-by-painting-school/parcommune
Neue Wilde,/en/artists-by-painting-school/neue-wilde
Independent Group,/en/artists-by-painting-school/independent-group
Neapolitan school,/en/artists-by-painting-school/neapolitan-school
Rostopasca,/en/artists-by-painting-school/rostopasca
Nouveaux Plasticiens,/en/artists-by-painting-school/nouveaux-plasticiens
Piacenza School,/en/artists-by-painting-school/piacenza-school
New Wave,/en/artists-by-painting-school/new-wave
Cluj School,/en/artists-by-painting-school/cluj-school
New British Sculpture,/en/artists-by-painting-school/new-british-sculpture
Caravaggisti,/en/artists-by-painting-school/caravaggisti
United Graffiti Artists,/en/artists-by-painting-school/united-graffiti-artists
Tosa school,/en/artists-by-painting-school/tosa-school
Mungnimhoe (Ink Forest Group),/en/artists-by-painting-school/mungnimhoe-ink-forest-group
Delft School,/en/artists-by-painting-school/delft-school
Kitchen Sink School,/en/artists-by-painting-school/kitchen-sink-school
Independents (Oporto artist group),/en/artists-by-painting-school/independents-oporto-artist-group
Mülheimer Freiheit,/en/artists-by-painting-school/m-lheimer-freiheit
Nuovi-Nuovi,/en/artists-by-painting-school/nuovi-nuovi
Tabriz school,/en/artists-by-painting-school/tabriz-school
Swabian school,/en/artists-by-painting-school/swabian-school
Herat School of Miniature,/en/artists-by-painting-school/herat-school-of-miniature
Pictures Generation,/en/artists-by-painting-school/pictures-generation
Zhe School,/en/artists-by-painting-school/zhe-school
Cádiz School,/en/artists-by-painting-school/c-diz-school
Wu School,/en/artists-by-painting-school/wu-school
Bruges School,/en/artists-by-painting-school/bruges-school
Milanese school,/en/artists-by-painting-school/milanese-school
Danube school,/en/artists-by-painting-school/danube-school
