city,country,title,url
Sofia,Bulgaria,National Academy of Arts (NAA),/en/artists-by-art-institution/national-academy-of-arts-naa-sofia-bulgaria
Kyiv,Ukraine,National Academy of Visual Arts and Architecture,/en/artists-by-art-institution/national-academy-of-visual-arts-and-architecture
Mexico City,Mexico,Academia de San Carlos,/en/artists-by-art-institution/academia-de-san-carlos-mexico-city-mexico
Tbilisi,Georgia,Tbilisi State Academy of Arts,/en/artists-by-art-institution/tbilisi-state-academy-of-arts-tbilisi-georgia
Oslo,Norway,Royal School of Art and Design of Christiania,/en/artists-by-art-institution/royal-school-of-art
Rome,Italy,Accademia di Belle Arti di Roma,/en/artists-by-art-institution/accademia-di-belle-arti-di-roma-rome-italy
Adelaide,Australia,South Australian School of Design,/en/artists-by-art-institution/south-australian-school-of-design-adelaide
Frankfurt,Germany,Städelschule (Academy of Fine Art),/en/artists-by-art-institution/st-delschule-academy
London,UK,Byam Shaw School of Art,/en/artists-by-art-institution/byam-shaw-school-of-art-london-uk
Vitebsk,Belarus,Vitebsk Art School,/en/artists-by-art-institution/vitebsk-art-school
Paris,France,Académie de la Grande Chaumière,/en/artists-by-art-institution/academie-de-la-grande-chaumiere-paris-france
London,UK,Chelsea College of Arts (University of the Arts London),/en/artists-by-art-institution/chelsea-college-of-arts-university-of-the-arts
New York City,NY,American Artists School,/en/artists-by-art-institution/american-artists
Moscow,Russia,Surikov Moscow State Academic Art Institute,/en/artists-by-art-institution/surikov-moscow-state-academic-art-institute-moscow
Pasadena,CA,Art Center College of Design,/en/artists-by-art-institution/art-center-college-of-design-pasadena-ca-us
Moscow,Russia,Vkhutemas,/en/artists-by-art-institution/vkhutemas-moscow-russia
Cleveland,OH,Cleveland Institute of Art,/en/artists-by-art-institution/cleveland-institute-of-art-cleveland-oh-us
Black Mountain,NC,Black Mountain College,/en/artists-by-art-institution/black-mountain
New York City,NY,School of Visual Arts (SVA),/en/artists-by-art-institution/school-of-visual-arts-sva-new-york-city-ny-us
Pittsburgh,PA,Carnegie Mellon University (Carnegie Institute of Technology),/en/artists-by-art-institution/carnegie-mellon
Los Angeles,CA,University of California (UCLA),/en/artists-by-art-institution/university-of-california-ucla-los-angeles-ca-us
Los Angeles,CA,Otis College of Art and Design,/en/artists-by-art-institution/otis-college-of-art-and-design-los-angeles-ca-us
Vadodara,Gujarat,Maharaja Sayajirao University of Baroda,/en/artists-by-art-institution/maharaja-sayajirao-university-of-baroda-vadodara
Jerusalem,Israel,Bezalel Academy of Arts and Design,/en/artists-by-art-institution/bezalel-academy-of-arts-and-design-jerusalem
New Haven,CT,Yale School of Art (Yale University),/en/artists-by-art-institution/yale-school-of-art-yale-university-new-haven-ct-us
Paris,France,Académie Royale de Peinture et de Sculpture,/en/artists-by-art-institution/acad-mie-royale-de
Florence,Italy,Accademia delle Arti del Disegno,/en/artists-by-art-institution/accademia-delle-arti
London,UK,Westminster School of Art,/en/artists-by-art-institution/westminster-school-of-art-london-uk
Odessa,Ukraine,South Ukrainian Ushynsky National Pedagogical University,/en/artists-by-art-institution/south-ukrainian-ushynsky-national-pedagogical
San Francisco,CA,San Francisco Art Institute (SFAI),/en/artists-by-art-institution/san-francisco-art-institute-sfai-san-francisco-ca
City University of New York,New York City,Hunter College,/en/artists-by-art-institution/hunter-college-city
East Sussex,UK,Hastings College of Arts and Technology (HCAT),/en/artists-by-art-institution/hastings-college-of-arts-and-technology-hcat-east
Odessa,Ukraine,Grekov Odessa Art School,/en/artists-by-art-institution/grekov-odessa-art-school-odessa-ukraine-0
Cambridge,MA,American Academy of Arts and Sciences,/en/artists-by-art-institution/american-academy-of
London,UK,Central Saint Martins (CSM),/en/artists-by-art-institution/central-saint-martins-csm-london-uk
Chicago,IL,School of the Art Institute of Chicago (SAIC),/en/artists-by-art-institution/school-of-the-art
