artistUrl,friends,influenced_by,influenced_on,institution,movements,school,type
/en/ambrogio-lorenzetti,,"/en/simone-martini,/en/duccio,/en/giotto,/en/artists-by-art-movement/byzantine-art,/en/artists-by-painting-school/florentine-school","/en/dante-gabriel-rossetti,/en/william-holman-hunt,/en/john-everett-millais,/en/artists-by-art-movement/early-renaissance,/en/artists-by-painting-school/pre-raphaelite-brotherhood",,"Proto Renaissance,Gothic Art",/en/artists-by-painting-school/sienese-school,Artists
/en/chen-hong,,,,,Tang Dynasty (618–907),,Artists
/en/ni-zan,,,,,"Yuan Dynasty (1271–1368),Ming Dynasty (1368–1644)",,Artists
/en/ahmad-musa,,,,,Ilkhanid Period (1256–1353),,Artists
/en/orthodox-icons,,"/en/byzantine-mosaics,/en/fayum-portrait","/en/andrei-rublev,/en/mykhailo-boychuk,/en/el-greco,/en/yov-kondzelevych,/en/viktor-vasnetsov,/en/mikhail-nesterov,/en/mikhail-vrubel,/en/kuzma-petrov-vodkin,/en/artists-by-painting-school/kyivan-cave-monastery-icon-painting-studio,/en/artists-by-painting-school/zhovkva-school-of-artists,/en/artists-by-art-movement/avant-garde",,"Byzantine Art,Coptic art",,Collections
/en/simone-martini,,,"/en/ambrogio-lorenzetti,/en/pietro-lorenzetti",,Gothic Art,/en/artists-by-painting-school/sienese-school,Artists
/en/wu-daozi,,,,,Tang Dynasty (618–907),/en/artists-by-painting-school/four-fathers-of-chinese-painting,Artists
/en/ancient-greek-painting,,"/en/apelles,/en/ancient-greek-pottery,/en/ancient-egyptian-painting","/en/fayum-portrait,/en/apelles,/en/ancient-greek-pottery",,"Archaic Period (700-480 BC),Classical Period (480 - 323 BC),Hellenistic Period (323-31 BC)",,Collections
/en/paolo-veneziano,,"/en/artists-by-art-movement/byzantine-art,/en/artists-by-art-movement/gothic-art","/en/dante-gabriel-rossetti,/en/william-holman-hunt,/en/john-everett-millais,/en/artists-by-painting-school/venetian-school,/en/artists-by-painting-school/pre-raphaelite-brotherhood",,Proto Renaissance,,Artists
/en/giovanni-da-milano,,/en/giotto,,,Proto Renaissance,/en/artists-by-painting-school/lombard-school,Artists
/en/lorenzo-monaco,,"/en/giotto,/en/ghiberti,/en/artists-by-art-movement/gothic-art",,,Early Renaissance,,Artists
/en/robert-campin,,,/en/jan-van-eyck,,Northern Renaissance,/en/artists-by-painting-school/flemish-school,Artists
/en/cennino-cennini,,/en/giotto,,,Proto Renaissance,,Artists
/en/sassetta,,"/en/masaccio,/en/artists-by-painting-school/florentine-school",,,Early Renaissance,/en/artists-by-painting-school/sienese-school,Artists
/en/jan-van-eyck,,"/en/robert-campin,/en/artists-by-art-movement/gothic-art","/en/antonello-da-messina,/en/rogier-van-der-weyden,/en/petrus-christus,/en/hans-memling,/en/dmitri-zhilinsky",,Northern Renaissance,/en/artists-by-painting-school/flemish-school,Artists
/en/pietro-lorenzetti,,"/en/duccio,/en/giotto,/en/simone-martini,/en/artists-by-painting-school/florentine-school",,,"Gothic Art,Proto Renaissance",/en/artists-by-painting-school/sienese-school,Artists
/en/alvaro-pires-de-evora,,,,,"Early Renaissance,Northern Renaissance,Gothic Art",/en/artists-by-painting-school/florentine-school,Artists
/en/andrei-rublev,,/en/orthodox-icons,,,Byzantine Art,,Artists
/en/giotto,,/en/artists-by-art-movement/byzantine-art,"/en/artists-by-art-movement/proto-renaissance,/en/jose-clemente-orozco,/en/cennino-cennini,/en/paul-gauguin,/en/michelangelo,/en/william-holman-hunt,/en/ambrogio-lorenzetti,/en/pietro-lorenzetti,/en/giovanni-da-milano,/en/lorenzo-monaco,/en/dmitri-zhilinsky",,Proto Renaissance,/en/artists-by-painting-school/florentine-school,Artists
/en/gentile-da-fabriano,,,,,Gothic Art,/en/artists-by-painting-school/lombard-school,Artists
/en/jacopo-bellini,,,,,Early Renaissance,/en/artists-by-painting-school/venetian-school,Artists
/en/masaccio,,,"/en/leonardo-da-vinci,/en/michelangelo,/en/sandro-botticelli,/en/sassetta",,Early Renaissance,/en/artists-by-painting-school/florentine-school,Artists
/en/fra-angelico,,/en/artists-by-painting-school/sienese-school,"/en/lo-scheggia,/en/antoniazzo-romano",,Early Renaissance,/en/artists-by-painting-school/florentine-school,Artists
/en/paolo-uccello,,,"/en/raphael,/en/giorgio-morandi,/en/lo-scheggia,/en/carlos-quizpez-asin,/en/dmitri-zhilinsky",,Early Renaissance,,Artists
/en/luca-di-tomme,,,,,Proto Renaissance,/en/artists-by-painting-school/sienese-school,Artists
/en/jacques-daret,/en/rogier-van-der-weyden,,,,Northern Renaissance,,Artists
/en/lo-scheggia,,"/en/fra-angelico,/en/domenico-veneziano,/en/paolo-uccello",,/en/artists-by-art-institution/guild-of-saint-luke,Early Renaissance,,Artists
/en/leon-battista-alberti,,,,,Early Renaissance,/en/artists-by-painting-school/florentine-school,Artists
/en/melchior-broederlam,,,,,Gothic Art,/en/artists-by-painting-school/flemish-school,Artists
/en/filippo-lippi,,,/en/leonardo-da-vinci,,Early Renaissance,/en/artists-by-painting-school/florentine-school,Artists
/en/pisanello,,,,,"Gothic Art,Early Renaissance",,Artists
/en/konrad-witz,,,,,Northern Renaissance,,Artists
/en/jean-fouquet,,,,,Northern Renaissance,,Artists
/en/justus-van-gent,"/en/dirk-bouts,/en/hugo-van-der-goes",,,/en/artists-by-art-institution/guild-of-saint-luke,Northern Renaissance,,Artists
/en/petrus-christus,,/en/jan-van-eyck,/en/hugo-van-der-goes,,Northern Renaissance,/en/artists-by-painting-school/dutch-school,Artists
/en/sesshu-toyo,,,,,Muromachi period (1392–1573),,Artists
/en/stefan-lochner,,,"/en/rogier-van-der-weyden,/en/hans-memling",,"Gothic Art,Northern Renaissance",,Artists
/en/piero-della-francesca,,,"/en/antonello-da-messina,/en/leonardo-da-vinci,/en/carlos-quizpez-asin",,Early Renaissance,,Artists
/en/nuno-goncalves,,,,,Early Renaissance,,Artists
/en/raphael,"/en/albrecht-durer,/en/sebastiano-del-piombo","/en/albrecht-durer,/en/paolo-uccello,/en/luca-signorelli,/en/michelangelo,/en/hans-memling","/en/giorgio-de-chirico,/en/annibale-carracci,/en/jacopo-bassano,/en/paul-gauguin,/en/francisco-pacheco,/en/titian,/en/nicolas-poussin,/en/edgar-degas,/en/pierre-auguste-renoir,/en/anton-raphael-mengs,/en/giovanni-battista-salvi-da-sassoferrato,/en/pompeo-batoni,/en/bernard-van-orley,/en/artists-by-painting-school/nazarenes,/en/artists-by-painting-school/d-sseldorf-school-of-painting",,High Renaissance,/en/artists-by-painting-school/umbrian-school,Artists
/en/hans-baldung,,,,,Northern Renaissance,/en/artists-by-painting-school/upper-rhine-school,Artists
/en/dirk-bouts,/en/justus-van-gent,,"/en/hugo-van-der-goes,/en/quentin-matsys",,Northern Renaissance,,Artists
/en/domenico-beccafumi,,,,,"Mannerism (Late Renaissance),High Renaissance",/en/artists-by-painting-school/sienese-school,Artists
/en/correggio,,,"/en/anton-raphael-mengs,/en/charles-de-steuben,/en/giovanni-battista-gaulli",,"High Renaissance,Mannerism (Late Renaissance)",/en/artists-by-painting-school/parma-school,Artists
/en/bernard-van-orley,,"/en/raphael,/en/albrecht-durer",,,Northern Renaissance,,Artists
/en/titian,"/en/giorgione,/en/lorenzo-lotto","/en/albrecht-durer,/en/giorgione,/en/raphael,/en/michelangelo","/en/jacopo-bassano,/en/peter-paul-rubens,/en/diego-velazquez,/en/caravaggio,/en/rembrandt,/en/nicolas-poussin,/en/edgar-degas,/en/anton-raphael-mengs,/en/anthony-van-dyck,/en/john-singer-sargent,/en/william-dobson,/en/claudio-coello,/en/palma-vecchio,/en/palma-il-giovane,/en/joshua-reynolds,/en/francis-bacon,/en/chris-ofili",,"High Renaissance,Mannerism (Late Renaissance)",/en/artists-by-painting-school/venetian-school,Artists
/en/francesco-melzi,/en/giovanni-antonio-boltraffio,/en/leonardo-da-vinci,,,High Renaissance,,Artists
/en/andrea-del-sarto,,,/en/annibale-carracci,,"High Renaissance,Mannerism (Late Renaissance)",/en/artists-by-painting-school/florentine-school,Artists
/en/qiu-ying,,,,,Ming Dynasty (1368–1644),,Artists
/en/jacopo-pontormo,,,,,Mannerism (Late Renaissance),/en/artists-by-painting-school/florentine-school,Artists
/en/gregorio-lopes,,,,,Northern Renaissance,,Artists
/en/sebastiano-del-piombo,"/en/raphael,/en/michelangelo",,,,"High Renaissance,Mannerism (Late Renaissance)",/en/artists-by-painting-school/venetian-school,Artists
/en/maerten-van-heemskerck,,,,,Mannerism (Late Renaissance),,Artists
/en/domenico-veneziano,,,/en/lo-scheggia,,Early Renaissance,/en/artists-by-painting-school/florentine-school,Artists
/en/hans-holbein-the-younger,,/en/andrea-mantegna,"/en/ford-madox-brown,/en/anthony-van-dyck,/en/peter-paul-rubens,/en/jules-bastien-lepage,/en/wilhelm-von-kaulbach",,Northern Renaissance,/en/artists-by-painting-school/german-school,Artists
/en/dosso-dossi,,,,,High Renaissance,/en/artists-by-painting-school/ferrara-school,Artists
/en/jan-van-hemessen,,,,,Northern Renaissance,"/en/artists-by-painting-school/flemish-school,/en/artists-by-painting-school/antwerp-school",Artists
/en/rogier-van-der-weyden,/en/jacques-daret,"/en/jan-van-eyck,/en/stefan-lochner","/en/antonello-da-messina,/en/hans-memling,/en/albrecht-durer,/en/martin-schongauer",/en/artists-by-art-institution/guild-of-saint-luke,Northern Renaissance,/en/artists-by-painting-school/flemish-school,Artists
/en/parmigianino,,/en/albrecht-durer,"/en/jacopo-bassano,/en/francesco-de-rossi-francesco-salviati",,Mannerism (Late Renaissance),/en/artists-by-painting-school/parma-school,Artists
/en/vicente-juan-masip,,,,,Mannerism (Late Renaissance),/en/artists-by-painting-school/valencian-school,Artists
/en/pieter-aertsen,,,,,Northern Renaissance,,Artists
/en/giulio-romano,,,,,"High Renaissance,Mannerism (Late Renaissance)",,Artists
/en/cristovao-de-figueiredo,,,,,Northern Renaissance,,Artists
/en/rosso-fiorentino,,,,,Mannerism (Late Renaissance),/en/artists-by-painting-school/florentine-school,Artists
/en/giorgio-vasari,/en/francesco-de-rossi-francesco-salviati,,,,Mannerism (Late Renaissance),/en/artists-by-painting-school/tuscan-school,Artists
/en/agnolo-bronzino,/en/alessandro-allori,,/en/francesco-de-rossi-francesco-salviati,,Mannerism (Late Renaissance),/en/artists-by-painting-school/florentine-school,Artists
/en/daniele-da-volterra,,/en/michelangelo,,,Mannerism (Late Renaissance),,Artists
/en/benvenuto-cellini,,,,,Mannerism (Late Renaissance),,Artists
/en/plautilla-nelli,,,,,Mannerism (Late Renaissance),,Artists
/en/pieter-bruegel-the-elder,"/en/maarten-de-vos,/en/giulio-clovio",/en/hieronymus-bosch,"/en/tobias-verhaecht,/en/peter-paul-rubens,/en/jan-miense-molenaer,/en/hendrick-avercamp",/en/artists-by-art-institution/guild-of-saint-luke,Northern Renaissance,"/en/artists-by-painting-school/flemish-school,/en/artists-by-painting-school/antwerp-school",Artists
/en/xu-wei,,,,,Ming Dynasty (1368–1644),,Artists
/en/giuseppe-arcimboldo,,,,,Mannerism (Late Renaissance),,Artists
/en/benvenuto-tisi,,,,,Mannerism (Late Renaissance),/en/artists-by-painting-school/ferrara-school,Artists
/en/francesco-de-rossi-francesco-salviati,/en/giorgio-vasari,"/en/parmigianino,/en/michelangelo,/en/agnolo-bronzino",,,Mannerism (Late Renaissance),,Artists
/en/tintoretto,,,"/en/jacopo-bassano,/en/maarten-de-vos,/en/eugene-delacroix,/en/giovanni-battista-tiepolo,/en/john-singer-sargent,/en/palma-il-giovane",/en/artists-by-art-institution/self-taught,Mannerism (Late Renaissance),/en/artists-by-painting-school/venetian-school,Artists
/en/jacopo-bassano,,"/en/titian,/en/albrecht-durer,/en/parmigianino,/en/tintoretto,/en/raphael",,,Mannerism (Late Renaissance),,Artists
/en/hans-hoffmann,,/en/albrecht-durer,,,Northern Renaissance,,Artists
/en/sofonisba-anguissola,,,,,Mannerism (Late Renaissance),/en/artists-by-painting-school/lombard-school,Artists
/en/kano-eitoku,,,,,"Muromachi period (1392–1573),Azuchi-Momoyama period (1573–1603)",/en/artists-by-painting-school/kano-school,Artists
/en/bartolomeo-passerotti,,,/en/annibale-carracci,,Mannerism (Late Renaissance),,Artists
/en/bartholomaus-spranger,,,,,Mannerism (Late Renaissance),,Artists
/en/maarten-de-vos,"/en/pieter-bruegel-the-elder,/en/adam-van-noort","/en/paolo-veronese,/en/tintoretto,/en/michelangelo",,/en/artists-by-art-institution/guild-of-saint-luke,Northern Renaissance,,Artists
/en/palma-il-giovane,,"/en/titian,/en/tintoretto",,,Mannerism (Late Renaissance),/en/artists-by-painting-school/venetian-school,Artists
/en/carlo-urbino,,,,,Mannerism (Late Renaissance),,Artists
/en/nicholas-hilliard,,,,,Northern Renaissance,,Artists
/en/giulio-clovio,"/en/pieter-bruegel-the-elder,/en/el-greco",,,,High Renaissance,,Artists
/en/lavinia-fontana,,,,,Mannerism (Late Renaissance),/en/artists-by-painting-school/bolognese-school,Artists
/en/paul-bril,/en/jan-brueghel-the-elder,/en/adam-elsheimer,,,Baroque,,Artists
/en/otto-van-veen,,,,/en/artists-by-art-institution/guild-of-saint-luke,"Mannerism (Late Renaissance),Baroque",/en/artists-by-painting-school/antwerp-school,Artists
/en/hendrick-goltzius,,/en/michelangelo,,,"Mannerism (Late Renaissance),Baroque",/en/artists-by-painting-school/lombard-school,Artists
/en/barbara-longhi,,,,,Mannerism (Late Renaissance),,Artists
/en/martin-kober,,,,,Mannerism (Late Renaissance),,Artists
/en/domenico-tintoretto,,,,,Mannerism (Late Renaissance),/en/artists-by-painting-school/venetian-school,Artists
/en/hans-von-aachen,,,,,"Mannerism (Late Renaissance),Northern Renaissance",,Artists
/en/adam-van-noort,/en/maarten-de-vos,/en/jacob-jordaens,,/en/artists-by-art-institution/guild-of-saint-luke,"Baroque,Mannerism (Late Renaissance)",/en/artists-by-painting-school/antwerp-school,Artists
/en/annibale-carracci,,"/en/raphael,/en/andrea-del-sarto,/en/artists-by-painting-school/venetian-school,/en/artists-by-painting-school/florentine-school,/en/bartolomeo-passerotti","/en/claude-lorrain,/en/john-constable,/en/jacques-louis-david,/en/giovanni-battista-salvi-da-sassoferrato,/en/artists-by-painting-school/bolognese-school,/en/juan-bautista-maino,/en/elisabetta-sirani",,Baroque,/en/artists-by-painting-school/bolognese-school,Artists
/en/hendrick-cornelisz-vroom,,,/en/jacob-van-ruisdael,,"Baroque,Dutch Golden Age",/en/artists-by-painting-school/dutch-school,Artists
/en/marietta-robusti,,,,,Mannerism (Late Renaissance),,Artists
/en/tobias-verhaecht,,"/en/joachim-patinir,/en/pieter-bruegel-the-elder",,/en/artists-by-art-institution/guild-of-saint-luke,"Northern Renaissance,Mannerism (Late Renaissance)",/en/artists-by-painting-school/antwerp-school,Artists
/en/karl-bodmer,,,,,Romanticism,,Artists
/en/constant-troyon,"/en/jean-francois-millet,/en/camille-corot",,,,Realism,/en/artists-by-painting-school/barbizon-school,Artists
/en/paul-kane,,,,,Romanticism,,Artists
/en/felix-louis-leullier,,,,,Romanticism,,Artists
/en/christen-kobke,,,,,Romanticism,,Artists
/en/owen-jones,,,,,Art Nouveau,,Artists
/en/raden-saleh,,,,,Romanticism,,Artists
/en/alessandro-allori,/en/agnolo-bronzino,,,,Mannerism (Late Renaissance),/en/artists-by-painting-school/florentine-school,Artists
/en/jules-dupre,,/en/john-constable,/en/alexander-helwig-wyant,,Realism,/en/artists-by-painting-school/barbizon-school,Artists
/en/theodore-rousseau,"/en/jean-francois-millet,/en/camille-corot",,/en/narcisse-virgilio-diaz,,Realism,/en/artists-by-painting-school/barbizon-school,Artists
/en/eugene-von-guerard,,,,/en/artists-by-art-institution/national-gallery-of-victoria-art-school-melbourne,Romanticism,"/en/artists-by-painting-school/d-sseldorf-school-of-painting,/en/artists-by-painting-school/nazarenes",Artists
/en/taras-shevchenko,/en/mykola-murashko,,,/en/artists-by-art-institution/imperial-academy-of-arts-saint-petersburg-russia,Romanticism,,Artists
/en/mikhail-lebedev,,,,,Realism,,Artists
/en/edward-lear,,,,,"Romanticism,Naturalism",,Artists
/en/jean-francois-millet,"/en/paul-delaroche,/en/constant-troyon,/en/narcisse-virgilio-diaz,/en/charles-jacque,/en/theodore-rousseau,/en/camille-corot","/en/honore-daumier,/en/michelangelo,/en/nicolas-poussin","/en/edward-mitchell-bannister,/en/andres-de-santa-maria,/en/vincent-van-gogh,/en/claude-monet,/en/georges-seurat,/en/salvador-dali,/en/eugene-burnand,/en/giovanni-segantini,/en/albin-egger-lienz,/en/frederick-mccubbin,/en/duane-hanson,/en/paul-henry",/en/artists-by-art-institution/cole-des-beaux-arts,Realism,/en/artists-by-painting-school/barbizon-school,Artists
/en/charles-jacque,/en/jean-francois-millet,/en/adriaen-van-ostade,,,Realism,/en/artists-by-painting-school/barbizon-school,Artists
/en/adalbert-schaffer,,,,,Academic Art,,Artists
/en/thomas-stuart-smith,,,,,Romanticism,,Artists
/en/rosario-weiss-zorrilla,,,,,Romanticism,,Artists
/en/miklos-barabas,,,,,Romanticism,,Artists
/en/louis-janmot,,,,,"Romanticism,Symbolism",,Artists
/en/pavel-fedotov,,,,,Realism,,Artists
/en/rudolf-von-alt,,,/en/adolf-hitler,/en/artists-by-art-institution/akademie-der-0,Romanticism,/en/artists-by-painting-school/vienna-secession,Artists
/en/ernest-meissonier,/en/jean-beraud,,,,"Academic Art,Realism",,Artists
/en/domenico-induno,,/en/francesco-hayez,,/en/artists-by-art-institution/accademia-di-belle-arti-di-brera-brera-academy,Romanticism,,Artists
/en/john-absolon,,,,,Romanticism,,Artists
/en/adolph-menzel,,,/en/max-klinger,,Realism,,Artists
/en/paolo-veronese,,,"/en/maarten-de-vos,/en/eugene-delacroix,/en/giovanni-battista-tiepolo,/en/anthony-van-dyck,/en/francois-lemoyne",,Mannerism (Late Renaissance),/en/artists-by-painting-school/venetian-school,Artists
/en/cornelis-springer,,,,,Romanticism,,Artists
/en/adolphe-yvon,,,,/en/artists-by-art-institution/cole-des-beaux-arts,Romanticism,,Artists
/en/thomas-jones-barker,,,,,Romanticism,,Artists
/en/george-frederick-watts,,,,,Symbolism,,Artists
/en/frederick-william-burton,,/en/artists-by-painting-school/pre-raphaelite-brotherhood,,,Romanticism,,Artists
/en/emanuel-gottlieb-leutze,,,,,Romanticism,/en/artists-by-painting-school/d-sseldorf-school-of-painting,Artists
/en/richard-dadd,,,,,Romanticism,/en/artists-by-painting-school/clique,Artists
/en/thomas-couture,/en/edward-henry-potthast,,,,Academic Art,,Artists
/en/alexandre-antigna,,,,/en/artists-by-art-institution/cole-des-beaux-arts,"Realism,Naturalism",,Artists
/en/ivan-aivazovsky,,,,/en/artists-by-art-institution/imperial-academy-of-arts-saint-petersburg-russia,Romanticism,/en/artists-by-painting-school/cimmerian-art-school,Artists
/en/el-greco,/en/giulio-clovio,"/en/orthodox-icons,/en/artists-by-art-movement/byzantine-art","/en/eugene-delacroix,/en/edouard-manet,/en/paul-cezanne,/en/pablo-picasso,/en/franz-marc,/en/jackson-pollock,/en/robert-montenegro,/en/jose-clemente-orozco,/en/francisco-pacheco,/en/artists-by-art-movement/expressionism,/en/artists-by-art-movement/cubism,/en/artists-by-painting-school/der-blaue-reiter-the-blue-rider",,Mannerism (Late Renaissance),/en/artists-by-painting-school/cretan-school,Artists
/en/charles-francois-daubigny,/en/camille-corot,"/en/camille-corot,/en/gustave-courbet","/en/pierre-emmanuel-damoye,/en/claude-monet,/en/paul-cezanne,/en/camille-corot,/en/martin-rico",,Realism,/en/artists-by-painting-school/barbizon-school,Artists
/en/john-frederick-kensett,,,,,Realism,/en/artists-by-painting-school/hudson-river-school,Artists
/en/anton-melbye,,,,,Romanticism,,Artists
/en/george-hemming-mason,,,,,Romanticism,,Artists
/en/james-hamilton,,,,,Romanticism,,Artists
/en/andreas-achenbach,,,,,Romanticism,/en/artists-by-painting-school/d-sseldorf-school-of-painting,Artists
/en/johan-jongkind,"/en/alfred-sisley,/en/eugene-boudin,/en/claude-monet",,,,"Impressionism,Realism",,Artists
/en/gustave-courbet,,"/en/rembrandt,/en/caravaggio,/en/diego-velazquez,/en/peter-paul-rubens,/en/francisco-de-zurbaran,/en/carolus-duran,/en/johannes-vermeer,/en/artists-by-art-movement/baroque,/en/artists-by-art-movement/romanticism,/en/frans-hals","/en/edouard-manet,/en/claude-monet,/en/pierre-auguste-renoir,/en/paul-cezanne,/en/james-mcneill-whistler,/en/alfred-sisley,/en/lucian-freud,/en/chaim-soutine,/en/charles-francois-daubigny,/en/andres-de-santa-maria,/en/jules-bastien-lepage,/en/eugene-burnand,/en/artists-by-art-movement/impressionism,/en/artists-by-art-movement/post-impressionism,/en/artists-by-art-movement/expressionism,/en/oswald-achenbach,/en/nathaniel-hone-the-younger",,Realism,,Artists
/en/john-ruskin,/en/dante-gabriel-rossetti,,"/en/le-corbusier,/en/william-holman-hunt",,Romanticism,/en/artists-by-painting-school/pre-raphaelite-brotherhood,Artists
/en/manuel-rodriguez-de-guzman,,,,,Romanticism,/en/artists-by-painting-school/seville-school,Artists
/en/thomas-francis-dicksee,,,,,Romanticism,,Artists
/en/jean-francois-portaels,,,,"/en/artists-by-art-institution/acad-mie-royale-des,/en/artists-by-art-institution/cole-des-beaux-arts","Orientalism,Academic Art",,Artists
/en/edward-ladell,,"/en/artists-by-painting-school/dutch-school,/en/artists-by-painting-school/flemish-school",,,Realism,,Artists
/en/ford-madox-brown,"/en/william-morris,/en/edward-burne-jones","/en/william-holman-hunt,/en/john-everett-millais,/en/hans-holbein-the-younger",/en/dante-gabriel-rossetti,/en/artists-by-art-institution/royal-academy-of-fine-arts-antwerp-belgium,Romanticism,/en/artists-by-painting-school/pre-raphaelite-brotherhood,Artists
/en/constantin-daniel-rosenthal,,,,,Romanticism,,Artists
/en/ernest-hebert,,,,,"Romanticism,Academic Art",,Artists
/en/alfred-dehodencq,,"/en/diego-velazquez,/en/francisco-goya",,/en/artists-by-art-institution/cole-des-beaux-arts,"Romanticism,Orientalism",,Artists
/en/theodore-chasseriau,,,,,"Romanticism,Orientalism",,Artists
/en/carl-haag,,,,/en/artists-by-art-institution/akademie-der,Orientalism,,Artists
/en/james-archer,,,,,Romanticism,,Artists
/en/sophie-gengembre-anderson,,"/en/artists-by-art-movement/neoclassicism,/en/artists-by-painting-school/pre-raphaelite-brotherhood",,,"Romanticism,Neoclassicism,Kitsch",,Artists
/en/william-hart,,,,,Romanticism,/en/artists-by-painting-school/hudson-river-school,Artists
/en/antonio-ciseri,,/en/charles-gleyre,,,"Romanticism,Academic Art",,Artists
/en/alfred-stevens,/en/henri-gervex,,,,Romanticism,,Artists
/en/august-von-pettenkofen,,/en/artists-by-painting-school/barbizon-school,,"/en/artists-by-art-institution/akademie-der-0,/en/artists-by-art-institution/akademie-der",Realism,/en/artists-by-painting-school/szolnok-artists-colony,Artists
/en/william-bradford,,,,,Romanticism,/en/artists-by-painting-school/hudson-river-school,Artists
/en/rosa-bonheur,,"/en/nicolas-poussin,/en/peter-paul-rubens",,,Romanticism,,Artists
/en/gheorghe-tattarescu,,,,,Neoclassicism,,Artists
/en/william-simpson,,,,,Realism,,Artists
/en/alexey-bogolyubov,,,,,"Romanticism,Realism",/en/artists-by-painting-school/peredvizhniki-society-for-traveling-art-exhibitions,Artists
/en/henryk-rodakowski,,,,,Romanticism,,Artists
/en/theodule-ribot,,,,,Realism,,Artists
/en/jean-leon-gerome,"/en/abbott-handerson-thayer,/en/benjamin-constant,/en/henri-pierre-picou",/en/john-frederick-lewis,"/en/jean-lecomte-du-nouy,/en/jean-leon-gerome-ferris",/en/artists-by-art-institution/acad-mie-des-beaux,"Academic Art,Romanticism,Orientalism",,Artists
/en/jasper-francis-cropsey,,,,,Romanticism,/en/artists-by-painting-school/hudson-river-school,Artists
/en/martin-johnson-heade,,,,,Realism,/en/artists-by-painting-school/hudson-river-school,Artists
/en/eastman-johnson,,,,,Realism,/en/artists-by-painting-school/d-sseldorf-school-of-painting,Artists
/en/william-holbrook-beard,,,,/en/artists-by-art-institution/national-academy,Romanticism,/en/artists-by-painting-school/d-sseldorf-school-of-painting,Artists
/en/henri-pierre-picou,"/en/gustave-boulanger,/en/jean-leon-gerome",/en/charles-gleyre,,,Academic Art,,Artists
/en/joaquin-dominguez-becquer,,,,,"Romanticism,Realism",,Artists
/en/george-inness,,,/en/alexander-helwig-wyant,/en/artists-by-art-institution/national-academy,Tonalism,"/en/artists-by-painting-school/american-barbizon-school,/en/artists-by-painting-school/hudson-river-school",Artists
/en/gustave-boulanger,/en/henri-pierre-picou,,,,Academic Art,,Artists
/en/luis-de-madrazo-y-kuntz,,/en/artists-by-painting-school/nazarenes,,,Romanticism,,Artists
/en/alexandre-cabanel,/en/francesc-masriera,,/en/paul-albert-besnard,/en/artists-by-art-institution/acad-mie-des-beaux,Academic Art,,Artists
/en/marcus-larson,,,,,Romanticism,,Artists
/en/johan-hendrik-weissenbruch,,,,,Realism,/en/artists-by-painting-school/hague-school,Artists
/en/hans-gude,,,,"/en/artists-by-art-institution/kunstakademie-dusseldorf-dusseldorf-germany,/en/artists-by-art-institution/akademie-der-k-nste",Romanticism,,Artists
/en/richard-caton-woodville-sr,,,,/en/artists-by-art-institution/kunstakademie-dusseldorf-dusseldorf-germany,Romanticism,,Artists
/en/adolphe-joseph-thomas-monticelli,,,,,Romanticism,,Artists
